"ID","Date","Description","Work Time (Formatted)","Work Time (Seconds)","Rest Time (Formatted)","Rest Time (Seconds)","Work Distance","Rest Distance","Stroke Rate/Cadence","Stroke Count","Pace","Avg Watts","Cal/Hour","Avg Heart Rate","Drag Factor","Age","Weight","Type","Ranked","Comments"
"35174034","2018-10-11 17:26:00","6000m row","22:43.1","1363.1","","","6000","","26","613","1:53.5","239","1121","","109","17","Lwt","Indoor Rower","Yes",""
"35174035","2018-10-11 16:46:00","4:18 row","4:18.0","258","","","1016","","23","97","2:06.9","171","888","","108","17","Lwt","Indoor Rower","No",""
"35174036","2018-10-11 16:36:00","1:24 row","1:24.7","84.7","","","303","","18","13","2:19.7","128","741","","110","17","Lwt","Indoor Rower","No",""
"35018637","2018-10-09 19:36:00","2x20:00/5:00r row","40:00.0","2400","10:00.0","600","9821","158","22","904","2:02.1","192","960","","111","17","Lwt","Indoor Rower","No",""
"35018638","2018-10-09 18:49:00","0:11 row","0:11.5","11.5","","","43","","16","2","2:13.7","146","803","","110","17","Lwt","Indoor Rower","No",""
"35018639","2018-10-06 13:19:00","8:18 row","8:18.7","498.7","","","2005","","21","178","2:04.3","182","926","","107","17","Lwt","Indoor Rower","No",""
"34963598","2018-10-04 17:13:00","6000m row","23:28.3","1408.3","","","6000","","28","675","1:57.3","217","1045","","118","17","Lwt","Indoor Rower","No",""
"34743731","2018-09-19 00:00:00","10,000m row","39:25.4","2365.4","","","10000","","","","1:58.2","212","1028","","","17","Lwt","Indoor Rower","No","10k test #4"
"34663192","2018-09-11 00:00:00","10,000m row","38:57.6","2337.6","","","10000","","","","1:56.8","219","1054","","","17","Lwt","Indoor Rower","Yes","10k test #3"
"34644594","2018-09-10 08:50:00","10000m row","41:47.6","2507.6","","","10000","","21","884","2:05.3","178","911","172","105","17","Lwt","Indoor Rower","No",""
"34644595","2018-09-09 21:11:00","1:53 row","1:53.4","113.4","","","476","","24","3","1:59.1","207","1012","","97","17","Lwt","Indoor Rower","No",""
"34629637","2018-09-04 00:00:00","10,000m row","40:10.6","2410.6","","","10000","","","","2:00.5","200","987","","","17","Lwt","Indoor Rower","No","10K test #2"
"34588303","2018-09-04 00:00:00","4,786m row","20:00.0","1200","","","4786","","","","2:05.3","178","911","","","17","Lwt","Indoor Rower","No","woke up late was not able to do 40mins"
"34565010","2018-09-01 00:00:00","10,000m row","43:26.0","2606","","","10000","","","","2:10.3","158","844","","","17","Lwt","Indoor Rower","No",""
"34644596","2018-08-31 17:02:00","1:25 row","1:25.3","85.3","","","359","","24","34","1:58.8","209","1018","","103","17","Lwt","Indoor Rower","No",""
"34644597","2018-08-31 17:00:00","5:04 row","5:04.9","304.9","","","1291","","23","115","1:58.0","213","1031","","103","17","Lwt","Indoor Rower","No",""
"34565008","2018-08-31 00:00:00","10,000m row","39:46.8","2386.8","","","10000","","","","1:59.3","206","1008","","","17","Lwt","Indoor Rower","No","10K test"
"34551364","2018-08-31 00:00:00","10,000m row","43:47.0","2627","","","10000","","","","2:11.3","154","831","","","17","Lwt","Indoor Rower","No",""
"34548374","2018-08-30 00:00:00","10,000m row","44:23.0","2663","","","10000","","","","2:13.1","148","810","","","17","Lwt","Indoor Rower","No",""
"34542469","2018-08-30 00:00:00","10,000m row","43:12.0","2592","","","10000","","","","2:09.6","161","853","","","17","Lwt","Indoor Rower","No",""
"34538968","2018-08-29 00:00:00","4,784m row","20:00.0","1200","","","4784","","","","2:05.4","177","910","","","17","Lwt","Indoor Rower","No",""
"34533735","2018-08-29 00:00:00","18,732m row","1:20:00.0","4800","","","18732","","","","2:08.1","166","872","","","17","Lwt","Indoor Rower","No",""
"34529717","2018-08-28 00:00:00","18,832m row","1:20:00.0","4800","","","18832","","","","2:07.4","169","881","","","17","Lwt","Indoor Rower","No",""
"34517832","2018-08-27 00:00:00","10,000m row","43:21.0","2601","","","10000","","","","2:10.0","159","847","","","17","Lwt","Indoor Rower","No",""
"34509344","2018-08-27 00:00:00","9,412m row","40:00.0","2400","","","9412","","","","2:07.4","169","881","","","17","Lwt","Indoor Rower","No",""
"34504124","2018-08-26 17:49:00","1x20:00/3:00r row","20:00.0","1200","3:00.0","180","4818","22","20","394","2:04.5","181","923","186","97","17","Lwt","Indoor Rower","No",""
"34501831","2018-08-26 00:00:00","9,423m row","40:00.0","2400","","","9423","","","","2:07.3","169","883","","","17","Lwt","Indoor Rower","No",""
"34496312","2018-08-25 00:00:00","18,597m row","1:20:00.0","4800","","","18597","","","","2:09.0","163","860","","","17","Lwt","Indoor Rower","No",""
"34486045","2018-08-24 00:00:00","18,633m row","1:20:00.0","4800","","","18633","","","","2:08.8","164","863","","","17","Lwt","Indoor Rower","No",""
"34480428","2018-08-24 00:00:00","9,623m row","40:00.0","2400","","","9623","","","","2:04.7","180","921","","","17","Lwt","Indoor Rower","No",""
"34476499","2018-08-23 00:00:00","18,728m row","1:20:00.0","4800","","","18728","","","","2:08.1","166","872","","","17","Lwt","Indoor Rower","No",""
"34464758","2018-08-22 18:35:00","4x0:30/1:30r row","2:00.0","120","6:00.0","360","648","421","42","180","1:32.5","441","1817","","163","17","Lwt","Indoor Rower","No",""
"34464759","2018-08-22 18:25:00","8:03 row","8:03.1","483.1","","","2021","","21","168","1:59.5","205","1005","","111","17","Lwt","Indoor Rower","No",""
"34465971","2018-08-22 00:00:00","10,000m row","44:12.0","2652","","","10000","","","","2:12.6","150","816","","","17","Lwt","Indoor Rower","No",""
"34454945","2018-08-21 19:44:00","v1:00/2:00r...10 row","10:00.0","600","17:30.0","1050","2971","1293","36","708","1:40.9","340","1469","","149","17","Lwt","Indoor Rower","No",""
"34454719","2018-08-21 19:12:00","2x2500m/1:30r row","20:52.4","1252.4","3:00.0","180","5000","164","21","489","2:05.2","178","913","","121","17","Lwt","Indoor Rower","No",""
"34454720","2018-08-21 18:46:00","10:36 row","10:36.1","636.1","","","2506","","20","217","2:06.9","171","889","","101","17","Lwt","Indoor Rower","No",""
"34454401","2018-08-21 18:18:00","4:55 row","4:55.0","295","","","1181","","21","102","2:04.8","180","918","","102","17","Lwt","Indoor Rower","No",""
"34454402","2018-08-21 18:12:00","1:02 row","1:02.4","62.4","","","240","","19","19","2:10.0","159","848","","104","17","Lwt","Indoor Rower","No",""
"34454403","2018-08-21 18:08:00","1:27 row","1:27.2","87.2","","","323","","20","28","2:14.9","142","789","","134","17","Lwt","Indoor Rower","No",""
"34454404","2018-08-21 18:04:00","1:34 row","1:34.8","94.8","","","428","","28","44","1:50.7","258","1186","","102","17","Lwt","Indoor Rower","No",""
"34453278","2018-08-21 00:00:00","10,000m row","42:19.0","2539","","","10000","","","","2:06.9","171","888","","","17","Lwt","Indoor Rower","No",""
"34432046","2018-08-19 00:00:00","20,000m row","1:26:13.0","5173","","","20000","","","","2:09.3","162","856","","","17","Lwt","Indoor Rower","No",""
"34432049","2018-08-18 00:00:00","10,000m row","43:22.0","2602","","","10000","","","","2:10.1","159","847","","","17","Lwt","Indoor Rower","No",""
"34412898","2018-08-17 18:28:00","1:43 row","1:43.0","103","","","321","","30","52","2:40.4","85","591","","123","17","Lwt","Indoor Rower","No",""
"34412899","2018-08-17 18:26:00","2:59 row","2:59.7","179.7","","","345","","18","54","4:20.4","20","368","","101","17","Lwt","Indoor Rower","No",""
"34412900","2018-08-17 18:08:00","v1:00/2:00r...17 row","17:00.0","1020","21:10.0","1270","4893","1942","38","1024","1:44.2","309","1363","","114","17","Lwt","Indoor Rower","No",""
"34412901","2018-08-17 17:19:00","6:09 row","6:09.3","369.3","","","1342","","20","136","2:17.5","134","762","","112","17","Lwt","Indoor Rower","No",""
"34411782","2018-08-17 00:00:00","18,847m row","1:20:00.0","4800","","","18847","","","","2:07.3","169","883","","","17","Lwt","Indoor Rower","No",""
"34403969","2018-08-17 00:00:00","10,000m row","37:22.0","2242","","","10000","","","","1:52.1","248","1155","","","17","Lwt","Indoor Rower","No","5x2k 5 mins rest"
"34402513","2018-08-16 18:23:00","4x15:00/3:00r row","1:00:00.0","3600","12:00.0","720","14564","265","21","1292","2:03.5","185","938","","102","17","Lwt","Indoor Rower","No",""
"34400577","2018-08-16 00:00:00","20,000m row","1:28:17.0","5297","","","20000","","","","2:12.4","151","818","","","17","Lwt","Indoor Rower","No",""
"34402514","2018-08-15 18:44:00","1:18 row","1:18.1","78.09999999999999","","","211","","16","10","3:05.0","55","490","","114","17","Lwt","Indoor Rower","No",""
"34381204","2018-08-14 18:19:00","3x20:00/3:00r row","1:00:00.0","3600","9:00.0","540","14512","105","21","1305","2:04.0","183","931","","108","17","Lwt","Indoor Rower","No",""
"34381205","2018-08-14 17:09:00","1:27 row","1:27.7","87.7","","","367","","21","29","1:59.4","205","1006","","106","17","Lwt","Indoor Rower","No",""
"34381206","2018-08-14 17:07:00","1:52 row","1:52.2","112.2","","","469","","21","38","1:59.6","205","1003","","106","17","Lwt","Indoor Rower","No",""
"34283046","2018-08-04 00:00:00","18,328m row","1:20:00.0","4800","","","18328","","","","2:10.9","156","836","","","17","Lwt","Indoor Rower","No",""
"34270456","2018-08-03 00:00:00","1,513m row","5:00.0","300","","","1513","","","","1:39.1","359","1536","","","17","Lwt","Indoor Rower","No","10x:30/:30r"
"34381207","2018-08-02 18:05:00","1x0:30/0:30r row","0:30.0","30","0:30.0","30","167","33","46","28","1:29.8","483","1962","","120","17","Lwt","Indoor Rower","No",""
"34381208","2018-08-02 18:03:00","0:18 row","0:18.6","18.6","","","93","","39","11","1:40.0","350","1504","","119","17","Lwt","Indoor Rower","No",""
"34264832","2018-08-02 17:13:00","10:10 row","10:10.9","610.9","","","2421","","25","197","2:06.1","174","899","","140","17","Lwt","Indoor Rower","No",""
"34257720","2018-08-02 00:00:00","18,346m row","1:20:00.0","4800","","","18346","","","","2:10.8","156","838","","","17","Lwt","Indoor Rower","No",""
"34257718","2018-08-01 00:00:00","18,567m row","1:20:00.0","4800","","","18567","","","","2:09.2","162","857","","","17","Lwt","Indoor Rower","No",""
"34236400","2018-07-30 00:00:00","10,000m row","42:37.0","2557","","","10000","","","","2:07.8","167","876","","","17","Lwt","Indoor Rower","No",""
"34218825","2018-07-28 00:00:00","13,300m row","1:00:00.0","3600","","","13300","","","","2:15.3","141","785","","","17","Lwt","Indoor Rower","No",""
"34218822","2018-07-27 00:00:00","18,913m row","1:20:00.0","4800","","","18913","","","","2:06.8","171","889","","","17","Lwt","Indoor Rower","No",""
"34203040","2018-07-26 00:00:00","9,567m row","40:00.0","2400","","","9567","","","","2:05.4","177","910","","","17","Lwt","Indoor Rower","No",""
"34195004","2018-07-25 10:54:00","1x20:00/3:00r row","20:00.0","1200","3:00.0","180","3795","29","21","427","2:38.1","89","604","","120","17","Lwt","Indoor Rower","No",""
"34195008","2018-07-25 00:00:00","18,045m row","1:20:00.0","4800","","","18045","","","","2:13.0","149","811","","","17","Lwt","Indoor Rower","No",""
"34187216","2018-07-24 19:36:00","2000m row","10:40.0","640","","","2000","","16","167","2:40.0","85","594","","130","17","Lwt","Indoor Rower","No",""
"34187217","2018-07-24 19:21:00","1500m row","5:35.5","335.5","","","1500","","24","133","1:51.8","250","1161","","117","17","Lwt","Indoor Rower","No",""
"34187218","2018-07-24 19:09:00","1500m row","5:34.5","334.5","","","1500","","33","185","1:51.5","252","1168","","122","17","Lwt","Indoor Rower","No",""
"34187219","2018-07-24 18:57:00","1500m row","5:32.8","332.8","","","1500","","24","137","1:50.9","256","1182","","117","17","Lwt","Indoor Rower","No",""
"34187220","2018-07-24 18:44:00","1500m row","5:21.8","321.8","","","1500","","32","174","1:47.2","284","1275","","118","17","Lwt","Indoor Rower","No",""
"34187221","2018-07-24 18:33:00","1500m row","5:22.9","322.9","","","1500","","22","122","1:47.6","281","1266","","118","17","Lwt","Indoor Rower","No",""
"34187222","2018-07-24 18:17:00","2:21 row","2:21.4","141.4","","","568","","20","46","2:04.4","181","924","","119","17","Lwt","Indoor Rower","No",""
"34187223","2018-07-24 18:03:00","2:59 row","2:59.0","179","","","680","","20","58","2:11.6","154","828","","111","17","Lwt","Indoor Rower","No",""
"34176955","2018-07-23 00:00:00","18,898m row","1:20:00.0","4800","","","18898","","","","2:06.9","171","888","","","17","Lwt","Indoor Rower","No",""
"34167316","2018-07-22 14:40:00","1x0:30/0:30r row","0:30.0","30","0:30.0","30","165","32","44","25","1:30.9","466","1903","176","121","17","Lwt","Indoor Rower","No",""
"34167286","2018-07-22 14:32:00","3x0:30/0:30r row","1:30.0","90","1:30.0","90","455","163","41","94","1:38.9","362","1545","174","124","17","Lwt","Indoor Rower","No",""
"34167287","2018-07-22 14:24:00","3x0:30/0:30r row","1:30.0","90","1:30.0","90","439","167","34","76","1:42.5","325","1418","166","151","17","Lwt","Indoor Rower","No",""
"34167087","2018-07-22 14:09:00","1x20:00/3:00r row","20:00.0","1200","3:00.0","180","4617","11","19","384","2:09.9","159","848","161","98","17","Lwt","Indoor Rower","No",""
"34168400","2018-07-22 00:00:00","13,467m row","1:00:00.0","3600","","","13467","","","","2:13.6","147","804","","","17","Lwt","Indoor Rower","No",""
